Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S006469    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral,Wednesday,2023,11,November,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,40,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,434417.83,4583948.44,2.214286835,41.402556688,2023-11-01 14:00:00
2023S006470    ,Sants-Montjuïc,Sants,Sant Antoni,Wednesday,2023,11,November,1,Morning,,Not caused by the pedestrian,Bus,Woman,67,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428334.0,4581417.71,2.141810369,41.379243764,2023-11-01 11:00:00
2023S006471    ,Sant Andreu,la Sagrera,Vallès i Ribot,Wednesday,2023,11,November,1,Afternoon,,Not caused by the pedestrian,Bicicleta,Woman,28,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,432317.88,4586209.49,2.188913493,41.422747149,2023-11-01 17:00:00
2023S006472    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Ca l'Alegre de Dalt,Tuesday,2023,10,October,31,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,34,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430043.11,4584652.72,2.161873866,41.408530923,2023-10-31 20:00:00
2023S006474    ,Nou Barris,la Guineueta,República,Wednesday,2023,11,November,1,Night,,Others,Car,Woman,33,Pedestrian,En pas regulat per semàfor,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,431123.14,4587928.91,2.174421247,41.438131754,2023-11-01 23:00:00
2023S006475    ,Unknown,Unknown,Unknown,Wednesday,2023,11,November,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,26,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,426623.16,4581757.35,2.12131129,41.382148484,2023-11-01 19:00:00
2023S006477    ,Sant Martí,el Besòs i el Maresme,Litoral (Llobregat),Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,27,Driver,Desconegut,Unknown,Commuting,Serious injury: Hospitalization over 24 hours,435085.59,4584918.92,2.222170678,41.411351817,2023-11-02 08:00:00
2023S006478    ,Ciutat Vella,el Raval,Pintor Fortuny,Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Bicicleta,Woman,27,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,430749.65,4581873.96,2.170644399,41.38356472,2023-11-02 09:00:00
2023S006479    ,Eixample,la Nova Esquerra de l'Eixample,Aragó,Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Motorcycle,Woman,27,Driver,Desconegut,Unknown,Commuting,Minor injury: Medical assistance at accident site,429336.34,4581897.74,2.153740246,41.383655935,2023-11-02 09:00:00
2023S006480    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat),Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,25,Driver,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,434371.96,4583978.79,2.213734829,41.402826298,2023-11-02 08:00:00
2023S006481    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral,Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,31,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,434417.83,4583948.44,2.214286835,41.402556688,2023-11-02 09:00:00
2023S006482    ,Sarrià-Sant Gervasi,Sarrià,Carroç,Tuesday,2023,10,October,10,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,62,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,425450.27,4584670.26,2.106926717,41.408275836,2023-10-10 14:00:00
2023S006483    ,Sants-Montjuïc,Sants,Berlín,Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,61,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428108.47,4581859.44,2.139061078,41.383202135,2023-11-02 12:00:00
2023S006484    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Almogàvers,Tuesday,2023,10,October,31,Morning,,Not caused by the pedestrian,Ciclomotor,Woman,21,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431736.83,4582736.66,2.182352601,41.39141924,2023-10-31 13:00:00
2023S006485    ,Gràcia,la Vila de Gràcia,Torrent de l'Olla,Thursday,2023,11,November,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,41,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429883.69,4583657.9,2.160081979,41.39955703,2023-11-02 13:00:00
2023S006486    ,Unknown,Unknown,Unknown,Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Bicicleta,Woman,60,Pedestrian,En pas regulat per semàfor,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,426883.33,4583690.92,2.124188957,41.399587047,2023-11-02 14:00:00
2023S006487    ,Ciutat Vella,el Raval,Drassanes,Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Car,Woman,30,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431214.13,4580892.36,2.176310481,41.374763588,2023-11-02 15:00:00
2023S006489    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Llull,Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Car,Woman,27,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,434268.17,4584668.01,2.212418352,41.409025456,2023-11-02 15:00:00
2023S006490    ,Sant Andreu,el Bon Pastor,Sant Adrià,Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Car,Woman,32,Pedestrian,En pas sense regular,Commuting,Unknown,Minor injury: Hospitalization up to 24 hours,433778.71,4587716.11,2.206228692,41.436438654,2023-11-02 19:00:00
2023S006491    ,Ciutat Vella,el Raval,Sant Antoni,Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Autobús articulat,Woman,67,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430208.64,4582046.49,2.164154715,41.385071867,2023-11-02 18:00:00
2023S006492    ,Les Corts,Pedralbes,Dalt (Besòs),Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,39,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,425327.79,4582270.67,2.105757561,41.386652481,2023-11-02 19:00:00
2023S006494    ,Horta-Guinardó,Horta,Dante Alighieri,Thursday,2023,11,November,2,Night,,Not caused by the pedestrian,Motorcycle,Woman,54,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Refused medical assistance,429867.28,4586835.89,2.159517079,41.42817859,2023-11-02 22:00:00
2023S006495    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Thursday,2023,11,November,2,Night,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,29,Driver,Desconegut,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,429554.17,4581580.3,2.15638214,41.38081597,2023-11-02 23:00:00
2023S006496    ,Sant Andreu,Sant Andreu,Bascònia,Thursday,2023,11,November,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432174.37,4587732.73,2.187025248,41.436454362,2023-11-02 16:00:00
2023S006497    ,Eixample,l'Antiga Esquerra de l'Eixample,Balmes,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,51,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429929.89,4582678.07,2.160748048,41.39073606,2023-11-03 08:00:00
2023S006498    ,Sant Andreu,la Trinitat Vella,Dalt (Llobregat),Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,41,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432719.94,4588904.37,2.193424358,41.447052854,2023-11-03 10:00:00
2023S006499    ,Ciutat Vella,la Barceloneta,Marítim de la Barceloneta,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Bicicleta,Man,72,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432534.07,4581338.0,2.19204363,41.378889165,2023-11-03 09:00:00
2023S006500    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Còrsega,Friday,2023,11,November,3,Morning,,Disobeying the traffic light signal,Motorcycle,Man,41,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430411.16,4583904.05,2.16636309,41.401819871,2023-11-03 11:00:00
2023S006501    ,Eixample,Sant Antoni,Comte d'Urgell,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Furgoneta,Woman,78,Pedestrian,En pas regulat per semàfor,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430029.45,4581426.92,2.162083363,41.379476019,2023-11-03 11:00:00
2023S006503    ,Sants-Montjuïc,Hostafrancs,Elisi,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,45,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428585.98,4581366.46,2.144829559,41.378804588,2023-11-03 11:00:00
2023S006505    ,Horta-Guinardó,Horta,Dalt (Llobregat),Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Car,Woman,96,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429398.22,4587988.75,2.153769143,41.438520813,2023-11-03 11:00:00
2023S006506    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Camèlies,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,19,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429927.96,4585014.77,2.160454342,41.411781742,2023-11-03 12:00:00
2023S006507    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Providència,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Taxi,Man,63,Pedestrian,En pas sense regular,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429987.84,4584711.0,2.161205907,41.409051016,2023-11-03 11:00:00
2023S006510    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Picasso,Friday,2023,11,November,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,37,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431869.11,4582242.95,2.183990263,41.386983751,2023-11-03 13:00:00
2023S006511    ,Eixample,la Sagrada Família,Lepant,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,52,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,431557.65,4583899.32,2.180078076,41.401875741,2023-11-03 14:00:00
