Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S000001    ,Sants-Montjuïc,Sants,Badal,Sunday,2023,1,January,1,Morning,,Not caused by the pedestrian,"Camió rígid > 3,5 tones",Man,57,Pedestrian,En zona peatonal,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,427409.24,4580907.46,2.130813369,41.374565193,2023-01-01 10:00:00
2023S000003    ,Ciutat Vella,el Raval,Carme,Sunday,2023,1,January,1,Night,,Crossing outside the pedestrian crossing,Furgoneta,Man,45,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430479.42,4581533.3,2.167451891,41.380473178,2023-01-01 03:00:00
2023S000005    ,Gràcia,la Vila de Gràcia,Riera de Sant Miquel / Sèneca                     ,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Bicicleta,Man,45,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429637.2,4583426.13,2.157160502,41.397448015,2023-01-01 17:00:00
2023S000006    ,Gràcia,la Vila de Gràcia,Gran de Gràcia / Gràcia                           ,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,429497.51,4583693.13,2.155458526,41.399840547,2023-01-01 17:00:00
2023S000007    ,Sants-Montjuïc,la Marina del Prat Vermell,Ramon Albó                                        ,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,27,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431331.37,4586678.86,2.177055607,41.426890843,2023-01-01 18:00:00
2023S000008    ,Gràcia,la Vila de Gràcia,Riera de Cassoles,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,35,Driver,A la vorera / Andana,Unknown,On a mission,Minor injury: Medical assistance at accident site,429062.06,4584294.81,2.150179264,41.405221335,2023-01-01 14:00:00
2023S000009    ,Horta-Guinardó,Horta,Botticelli / Estatut de Catalunya                 ,Monday,2023,1,January,2,Night,,Not caused by the pedestrian,Motorcycle,Woman,40,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942,2023-01-02 04:00:00
2023S000010    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Marc Aureli,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,42,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,428399.69,4583937.88,2.14229781,41.401947852,2023-01-02 08:00:00
2023S000011    ,Horta-Guinardó,Sant Genís dels Agudells,Sant Cugat / Samaria                              ,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Motorcycle,Woman,64,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,428095.08,4586175.0,2.138388048,41.422069468,2023-01-02 09:00:00
2023S000012    ,Gràcia,la Vila de Gràcia,Verdi,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,"Camió rígid > 3,5 tones",Man,70,Pedestrian,En zona peatonal,Unknown,Unknown,Death (within 24 hours of accident),429443.48,4584355.08,2.154735037,41.40579775,2023-01-02 10:00:00
2023S000013    ,Sant Martí,Provençals del Poblenou,Corts Catalanes                                   ,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Furgoneta,Man,50,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433247.4,4585229.09,2.200144411,41.413994777,2023-01-02 09:00:00
2023S000014    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Muntaner,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Ciclomotor,Woman,42,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,428116.22,4583956.81,2.138904683,41.402093039,2023-01-02 11:00:00
2023S000015    ,Sant Martí,el Poblenou,Espronceda,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Ambulància,Man,54,Driver,Desconegut,Unknown,"Bombers, policia, ambulància",Minor injury: Medical assistance at accident site,433559.11,4584317.78,2.203973965,41.405812692,2023-01-02 10:00:00
2023S000016    ,Sant Martí,el Camp de l'Arpa del Clot,Freser,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Car,Woman,22,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431666.53,4585171.58,2.181236776,41.413343862,2023-01-02 08:00:00
2023S000017    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Gràcia,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Bus,Man,61,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428908.24,4583220.87,2.148465348,41.395535161,2023-01-02 11:00:00
2023S000018    ,Sant Andreu,la Trinitat Vella,Santa Coloma,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,28,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,432598.95,4588910.2,2.1919754,41.447095207,2023-01-02 13:00:00
2023S000019    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,37,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,427242.19,4577339.41,2.12924409,41.342413928,2023-01-02 15:00:00
2023S000020    ,Sant Martí,el Camp de l'Arpa del Clot,Indústria,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Bus,Woman,85,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431634.8,4585306.27,2.180841921,41.414554272,2023-01-02 17:00:00
2023S000021    ,Les Corts,Pedralbes,Dalt (Besòs),Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,40,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,425648.78,4583019.77,2.109504322,41.393429037,2023-01-02 14:00:00
2023S000022    ,Sant Martí,Sant Martí de Provençals,Guipúscoa,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,31,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,432944.88,4585473.31,2.19649785,41.416169198,2023-01-02 18:00:00
2023S000023    ,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Vallvidrera a les Planes,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,33,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,424364.44,4586356.76,2.093725898,41.423363761,2023-01-02 18:00:00
2023S000024    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes / Diagonal                                 ,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,26,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429430.09,4583191.25,2.154710596,41.395314373,2023-01-04 16:00:00
2023S000025    ,Sarrià-Sant Gervasi,el Putxet i el Farró,General Mitre / Berna                             ,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,41,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,428777.85,4584356.56,2.146772087,41.40575235,2023-01-02 18:00:00
2023S000026    ,Sant Andreu,la Trinitat Vella,Meridiana,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Furgoneta,Man,35,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,432323.57,4589136.63,2.188653583,41.449111399,2023-01-02 19:00:00
2023S000027    ,Eixample,la Dreta de l'Eixample,Mallorca,Monday,2023,1,January,2,Night,,Not caused by the pedestrian,Car,Woman,61,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429965.34,4582901.04,2.161146234,41.392747366,2023-01-02 22:00:00
2023S000028    ,Eixample,el Fort Pienc,Nàpols,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431743.53,4582916.38,2.182412469,41.393038496,2023-01-02 21:00:00
2023S000029    ,Horta-Guinardó,Horta,Universal,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,50,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430022.11,4587884.53,2.161248436,41.437636789,2023-01-02 20:00:00
2023S000030    ,Nou Barris,la Trinitat Nova,Palamós,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Car,Woman,6,Passenger,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,432027.76,4588953.97,2.185133062,41.447441237,2023-01-03 08:00:00
2023S000031    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sardenya,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Bicicleta,Woman,46,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430552.33,4584512.01,2.167981984,41.407307778,2023-01-03 08:00:00
2023S000033    ,Eixample,la Dreta de l'Eixample,Ausiàs Marc,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,42,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431275.02,4582830.46,2.176818603,41.392224718,2023-01-03 13:00:00
2023S000034    ,Sarrià-Sant Gervasi,el Putxet i el Farró,Lucà,Tuesday,2023,1,January,3,Morning,,Crossing outside the pedestrian crossing,Motorcycle,Man,69,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428167.38,4584926.71,2.139401483,41.410833113,2023-01-03 13:00:00
2023S000035    ,Eixample,la Nova Esquerra de l'Eixample,Aragó,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,48,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,429085.1,4581681.15,2.150761101,41.381683063,2023-01-03 13:00:00
2023S000036    ,Gràcia,el Coll,Móra d'Ebre,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Furgoneta,Woman,50,Pedestrian,En pas sense regular,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,429038.32,4585881.07,2.149709123,41.419506068,2023-01-03 15:00:00
2023S000038    ,Eixample,la Sagrada Família,Mallorca,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Ciclomotor,Woman,43,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,431368.18,4584275.95,2.177768882,41.40525177,2023-01-03 14:00:00
2023S000039    ,Eixample,l'Antiga Esquerra de l'Eixample,València,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,35,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429546.37,4582303.61,2.156204714,41.387329903,2023-01-03 14:00:00
2023S000040    ,Sant Martí,el Poblenou,Bilbao,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,61,Pedestrian,En pas regulat per semàfor,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,433090.05,4584419.2,2.198351418,41.406687227,2023-01-03 17:00:00
2023S000041    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Ganduxer,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Car,Woman,57,Passenger,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,428095.87,4582871.5,2.138790208,41.392316254,2023-01-03 18:00:00
2023S000042    ,Sants-Montjuïc,el Poble-sec,Paral·lel,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Bus,Man,26,Pedestrian,Desconegut,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,431024.5,4580857.89,2.17404697,41.374436886,2023-01-03 19:00:00
2023S000043    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Provençals,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Car,Woman,40,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,434403.02,4584111.59,2.214091981,41.404024934,2023-01-03 19:00:00
2023S000044    ,Gràcia,Vallcarca i els Penitents,Lesseps,Tuesday,2023,1,January,3,Afternoon,,Others,Motorcycle,Woman,28,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429024.35,4584481.54,2.149706242,41.406899811,2023-01-03 19:00:00
2023S000045    ,Nou Barris,Canyelles,Favència,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Car,Woman,20,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430337.72,4588274.45,2.164980883,41.441176103,2023-01-03 16:00:00
2023S000046    ,Horta-Guinardó,la Vall d'Hebron,Jorge Manrique,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,40,Driver,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,429014.52,4587231.05,2.149265771,41.431662683,2023-01-01 20:00:00
2023S000047    ,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,35,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429430.09,4583191.25,2.154710596,41.395314373,2023-01-03 17:00:00
2023S000048    ,Les Corts,les Corts,Corts,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,32,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,427602.93,4582133.45,2.132982779,41.385624681,2023-01-03 18:00:00
2023S000049    ,Sant Martí,el Poblenou,Tànger,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,27,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432896.49,4584227.11,2.196057155,41.404940981,2023-01-03 21:00:00
2023S000050    ,Sant Andreu,Sant Andreu,Meridiana,Tuesday,2023,1,January,3,Afternoon,,Not caused by the pedestrian,Car,Woman,21,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432121.17,4588255.25,2.186329789,41.441156021,2023-01-03 18:00:00
2023S000051    ,Sants-Montjuïc,el Poble-sec,Paral·lel,Wednesday,2023,1,January,4,Night,,Not caused by the pedestrian,Car,Man,30,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430443.15,4580944.45,2.167085784,41.375166442,2023-01-04 02:00:00
2023S000053    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Diagonal,Wednesday,2023,1,January,4,Morning,,Disobeying the traffic light signal,Furgoneta,Woman,81,Pedestrian,En pas regulat per semàfor,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,434782.92,4584880.09,2.218553723,41.410977567,2023-01-04 10:00:00
2023S000054    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,Wednesday,2023,1,January,4,Morning,,Not caused by the pedestrian,Motorcycle,Man,39,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,429735.29,4582301.52,2.158464328,41.387327612,2023-01-04 11:00:00
2023S000055    ,Les Corts,les Corts,Numància,Wednesday,2023,1,January,4,Morning,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,24,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,427722.44,4582364.77,2.134384389,41.387718843,2023-01-04 13:00:00
2023S000056    ,Horta-Guinardó,el Baix Guinardó,Guinardó,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Ciclomotor,Man,26,Driver,Desconegut,Unknown,On a mission,Minor injury: Medical assistance at accident site,430397.3,4585071.83,2.166062916,41.412336467,2023-01-04 14:00:00
2023S000057    ,Sarrià-Sant Gervasi,Sarrià,Sarrià a Vallvidrera,Wednesday,2023,1,January,4,Morning,,Not caused by the pedestrian,Motorcycle,Man,24,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,425809.2,4584577.29,2.111232034,41.407471725,2023-01-04 12:00:00
2023S000058    ,Sant Martí,el Camp de l'Arpa del Clot,Las Navas de Tolosa,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,34,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,432141.03,4585382.64,2.186890129,41.415285043,2023-01-04 16:00:00
2023S000059    ,Sant Martí,el Parc i la Llacuna del Poblenou,Pallars,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Car,Woman,43,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,432721.05,4583511.74,2.194037962,41.398483165,2023-01-04 14:00:00
2023S000060    ,Les Corts,les Corts,Diagonal,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,42,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,427575.97,4582577.49,2.13260725,41.389621548,2023-01-04 18:00:00
2023S000061    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Car,Man,9,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428296.55,4577849.21,2.141784635,41.347100121,2023-01-04 19:00:00
2023S000062    ,Ciutat Vella,el Barri Gòtic,Laietana,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,76,Pedestrian,En pas regulat per semàfor,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,431111.28,4582218.3,2.174929873,41.386697156,2023-01-04 18:00:00
2023S000064    ,Nou Barris,Porta,Verdum,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Autobús articulat,Woman,68,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431099.48,4587858.84,2.17414606,41.437498628,2023-01-04 18:00:00
2023S000065    ,Eixample,la Dreta de l'Eixample,Consell de Cent,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,38,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430687.11,4583048.44,2.169762034,41.394137516,2023-01-04 20:00:00
2023S000066    ,Eixample,el Fort Pienc,Sant Joan,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,58,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431582.27,4582754.76,2.180501983,41.391569121,2023-01-04 19:00:00
2023S000067    ,Nou Barris,Vilapicina i la Torre Llobeta,Meridiana,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,37,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431996.67,4586786.77,2.185004934,41.427919382,2023-01-04 19:00:00
2023S000068    ,Eixample,la Nova Esquerra de l'Eixample,Entença,Thursday,2023,1,January,5,Night,,Not caused by the pedestrian,Motorcycle,Man,28,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428898.82,4581611.98,2.14854162,41.381043623,2023-01-05 00:00:00
2023S000071    ,Sant Martí,el Parc i la Llacuna del Poblenou,Meridiana,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Ciclomotor,Man,21,Driver,Desconegut,Unknown,Commuting,Minor injury: Medical assistance at accident site,432127.28,4583478.89,2.18693924,41.398137365,2023-01-05 06:00:00
2023S000072    ,Horta-Guinardó,el Carmel,Carmel,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Car,Woman,60,Pedestrian,En pas sense regular,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429733.31,4586319.55,2.157973913,41.423516401,2023-01-05 09:00:00
2023S000073    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Motorcycle,Man,40,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,429742.65,4582333.21,2.158548672,41.387613677,2023-01-05 10:00:00
2023S000074    ,Eixample,la Sagrada Família,Padilla,Thursday,2023,1,January,5,Morning,,Walking on the road,Motorcycle,Man,71,Driver,Fora del pas,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,431087.38,4584563.89,2.174376938,41.407821118,2023-01-05 09:00:00
2023S000075    ,Nou Barris,Torre Baró,Sant Feliu de Codines,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Bus,Woman,81,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431179.12,4589942.83,2.174861648,41.456275161,2023-01-05 11:00:00
2023S000076    ,Eixample,la Dreta de l'Eixample,Corts Catalanes,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Motorcycle,Man,26,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,430973.07,4582896.51,2.173199642,41.392793737,2023-01-05 11:00:00
2023S000077    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Motorcycle,Man,89,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,428983.4,4583732.52,2.149304284,41.40015005,2023-01-05 09:00:00
2023S000078    ,Horta-Guinardó,el Guinardó,Llobet i Vall-llosera,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Bus,Woman,59,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430934.65,4586140.02,2.172369755,41.422003671,2023-01-05 10:00:00
2023S000079    ,Horta-Guinardó,la Teixonera,Santa Rosalia,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Bus,Man,70,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428500.99,4586012.24,2.14326431,41.420639802,2023-01-05 12:00:00
2023S000080    ,Eixample,la Dreta de l'Eixample,Roger de Llúria,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Motorcycle,Man,59,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430216.17,4583338.88,2.164095783,41.396712664,2023-01-05 13:00:00
2023S000081    ,Nou Barris,Vilapicina i la Torre Llobeta,Meridiana,Thursday,2023,1,January,5,Morning,,Not caused by the pedestrian,Motorcycle,Woman,43,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431926.84,4586869.18,2.184159998,41.428655703,2023-01-05 13:00:00
2023S000082    ,Sant Andreu,el Bon Pastor,Monterrey,Thursday,2023,1,January,5,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,31,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,433753.46,4588457.97,2.205845097,41.443118278,2023-01-05 15:00:00
2023S000084    ,Eixample,l'Antiga Esquerra de l'Eixample,Comte d'Urgell,Thursday,2023,1,January,5,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,63,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,428696.68,4582788.67,2.145985819,41.391623754,2023-01-05 18:00:00
2023S000085    ,Eixample,Sant Antoni,Sepúlveda,Thursday,2023,1,January,5,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,31,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429856.3,4581648.16,2.159987217,41.381453575,2023-01-05 17:00:00
2023S000086    ,Eixample,la Dreta de l'Eixample,Tetuan,Thursday,2023,1,January,5,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,53,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,431174.55,4583056.0,2.1755913,41.394247493,2023-01-05 20:00:00
2023S000087    ,Eixample,la Dreta de l'Eixample,Gràcia,Thursday,2023,1,January,5,Night,,Not caused by the pedestrian,Motorcycle,Woman,24,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430187.73,4582930.63,2.163802698,41.39303322,2023-01-05 22:00:00
2023S000088    ,Horta-Guinardó,el Guinardó,Maragall,Friday,2023,1,January,6,Night,,Not caused by the pedestrian,Car,Woman,48,Passenger,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,431341.49,4586362.71,2.177212631,41.424044254,2023-01-06 00:00:00
2023S000089    ,Eixample,la Dreta de l'Eixample,Corts Catalanes,Thursday,2023,1,January,5,Night,,Not caused by the pedestrian,Motorcycle,Man,51,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431320.59,4583309.03,2.177309331,41.396538951,2023-01-05 23:00:00
2023S000090    ,Sant Martí,el Camp de l'Arpa del Clot,Aragó,Friday,2023,1,January,6,Night,,Not caused by the pedestrian,Motorcycle,Woman,30,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,431934.16,4584454.66,2.184519459,41.406909506,2023-01-06 00:00:00
2023S000091    ,Sants-Montjuïc,la Marina de Port,Foneria,Friday,2023,1,January,6,Morning,,Disobeying the traffic light signal,Motorcycle,Man,25,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,428057.24,4579344.4,2.138747045,41.360545468,2023-01-06 10:00:00
2023S000092    ,Horta-Guinardó,el Guinardó,Art,Friday,2023,1,January,6,Morning,,Not caused by the pedestrian,Motorcycle,Man,32,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,431197.99,4585866.5,2.175551968,41.419562777,2023-01-06 09:00:00
2023S000093    ,Eixample,l'Antiga Esquerra de l'Eixample,Provença,Wednesday,2023,1,January,25,Morning,,Not caused by the pedestrian,Bus,Woman,57,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,429263.55,4582400.41,2.152811049,41.388176913,2023-01-25 09:00:00
2023S000094    ,Nou Barris,la Guineueta,Valldaura,Friday,2023,1,January,6,Morning,,Not caused by the pedestrian,Car,Woman,69,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430336.74,4588049.84,2.164995065,41.439153044,2023-01-06 09:00:00
2023S000095    ,Horta-Guinardó,el Guinardó,Mas Casanovas,Friday,2023,1,January,6,Morning,,Not caused by the pedestrian,Motorcycle,Man,55,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430904.68,4585374.48,2.172098642,41.415106138,2023-01-06 11:00:00
2023S000096    ,Eixample,la Sagrada Família,Cartagena,Friday,2023,1,January,6,Morning,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Woman,40,Pedestrian,En pas regulat per semàfor,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431554.86,4584456.44,2.179981666,41.406893313,2023-01-06 12:00:00
